ID,IC,FII,body_part,dry_weight
157,0.25,41,drythor,4.9
157,0.25,41,dryrest,4.7
157,0.25,41,drytotal,9.6
158,0.25,NA,drythor,5.44
158,0.25,69,DRYREST,4.68
158,0.25,69,drytotal,10.12
159,NA,67,drythor,4.76
159,0.25,67,dryrest,5.15
159,0.25,67,drytotal,9.91
161,0.25,48,drythor,6.06
161,0.25,48,dryrest,9.05
161,0.25,48,drytotal,15.11
162,0.25,NA,DRYTHOR,5
162,0.25,39,dryrest,NA
162,0.25,39,drytotal,12.62
163,0.25,22,drythor,6.39
163,0.25,22,dryrest,8.42
163,0.25,22,drytotal,14.81
164,0.25,23,drythor,6.11
164,0.25,23,dryrest,7.4
164,0.25,23,drytotal,13.510000000000002
166,0.25,NA,drythor,5.83
166,0.25,38,dryrest,11.36
166,0.25,38,drytotal,17.189999999999998
167,0.25,35,drythor,4.94
167,0.25,35,dryrest,9.3
167,0.25,35,drytotal,14.240000000000002
168,0.25,76,drythor,5.03
168,0.25,76,NA,6.49
168,0.25,76,drytotal,11.52
169,NA,47,drythor,5.6
169,0.25,47,dryrest,NA
169,0.25,47,drytotal,15.05
170,0.25,58,drythor,5.23
170,0.25,58,dryrest,6.73
170,0.25,58,drytotal,11.96
171,NA,84,drythor,5.83
171,0.25,84,DRYREST,6.11
171,0.25,84,drytotal,11.94
172,0.25,31,drythor,5.97
172,0.25,31,dryrest,9.16
172,0.25,31,NA,15.13
173,0.25,72,drythor,4.87
173,0.25,72,dryrest,5.09
173,NA,72,drytotal,9.96
174,0.25,77,drythor,5.13
174,0.25,77,dryrest,6.2
174,0.25,77,drytotal,11.33
175,0.375,56,drythor,5.36
175,0.375,56,dryrest,8.35
175,0.375,56,DRYTOTAL,13.71
176,0.375,37,drythor,5.07
176,0.375,37,dryrest,7.13
176,0.375,37,drytotal,12.2
177,0.375,43,drythor,5.87
177,0.375,43,dryrest,9.55
177,NA,43,drytotal,15.420000000000002
178,0.375,90,drythor,4.75
NA,0.375,90,dryrest,7.18
178,0.375,90,drytotal,11.93
179,0.375,52,drythor,NA
179,0.375,52,dryrest,9.21
179,0.375,52,drytotal,14.03
180,0.375,73,drythor,5.22
180,0.375,73,dryrest,6.36
180,0.375,73,NA,11.58
181,0.375,75,drythor,4.94
181,0.375,75,dryrest,7.14
181,0.375,75,drytotal,12.08
182,0.375,55,drythor,4.66
182,0.375,55,dryrest,6.71
NA,0.375,55,drytotal,11.37
183,0.375,47,drythor,5.05
183,0.375,47,dryrest,6
183,0.375,47,drytotal,11.05
184,0.375,32,drythor,5.11
184,0.375,32,dryrest,8.83
184,0.375,32,drytotal,13.94
185,NA,64,drythor,4.61
185,NA,64,dryrest,5.67
185,0.375,64,drytotal,10.28
186,0.375,83,drythor,3.64
186,0.375,83,dryrest,4.33
186,0.375,83,NA,7.970000000000001
187,0.25,28,drythor,5.52
187,0.25,28,dryrest,6.6
187,0.25,28,drytotal,12.12
188,0.25,25,drythor,4.43
188,0.25,25,dryrest,5.4
188,0.25,25,drytotal,9.83
189,0.25,23,drythor,5.24
189,0.25,NA,dryrest,5.57
189,0.25,23,drytotal,10.81
190,0.25,22,drythor,5.19
190,0.25,22,dryrest,5.29
190,0.25,22,drytotal,10.48
191,0.25,27,drythor,5.93
191,0.25,27,dryrest,5.82
191,0.25,27,drytotal,11.75
192,0.25,44,drythor,NA
192,0.25,44,dryrest,5.59
192,NA,44,drytotal,10.69
NA,0.25,46,drythor,6.54
194,0.25,46,dryrest,6.85
194,0.25,46,drytotal,13.39
195,0.25,27,drythor,5.05
